
﻿ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
173,simple,,"Apple Watch Hermès",1,0,visible,"Stainless Steel Case with Fauve Barenia Leather Double Tour","Уникальной особенностью «умных» часов Apple Watch Hermès 42mm из нержавеющей стали с ремешком Simple Tour из кожи Barenia цена на которые идеально соответствует безупречному качеству и впечатляющим характеристикам, стал ремешок Simple Tour. Он оснащён раскладывающейся застёжкой и изготовлен вручную из натуральной кожи Barenia, размер экрана составляет 42 мм по диагонали. Застёжка раскладывается при нажатии на кнопки с обеих сторон. Ремешок великолепно подходит для повседневного ношения, он не натирает запястье. Пользователь всегда может приобрести дополнительные ремешки, свободно заменяя их по мере необходимости.\n\nНовинка работает на микропроцессоре Apple S2 и имеет 8 GB встроенной памяти. Экран AMOLED обеспечивает великолепную цветопередачу и широчайшие углы обзора. Благодаря watchOS 3 Вы получаете доступ к огромной библиотеке разнообразных приложений, включая программы для фитнеса и регулярных тренировок!\n\n<img class=""aligncenter size-full wp-image-179"" src=""http://localhost:8888/wordpress/wp-content/uploads/2023/03/good-img.jpg"" alt="""" width=""1207"" height=""954"" />",,,taxable,,1,,,0,0,,,,,1,,,1299,Uncategorized,,,"http://localhost:8888/wordpress/wp-content/uploads/2023/03/view1.jpg, http://localhost:8888/wordpress/wp-content/uploads/2023/03/view2.jpg, http://localhost:8888/wordpress/wp-content/uploads/2023/03/view3.jpg, http://localhost:8888/wordpress/wp-content/uploads/2023/03/view4.jpg, http://localhost:8888/wordpress/wp-content/uploads/2023/03/view5.jpg",,,,,,,,,0
183,simple,,"Галстук Valentino",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,67,89,Uncategorized,,,http://localhost:8888/wordpress/wp-content/uploads/2023/03/product1.jpg,,,,,,,,,0
185,simple,,"Галстук Versace",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,112,Uncategorized,,,http://localhost:8888/wordpress/wp-content/uploads/2023/03/product2.jpg,,,,,,,,,0
187,simple,,"Галстук Calvin Klein",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,112,Uncategorized,,,http://localhost:8888/wordpress/wp-content/uploads/2023/03/product3.jpg,,,,,,,,,0
189,simple,,"Галстук-бабочка Dsquared",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,108,Uncategorized,,,http://localhost:8888/wordpress/wp-content/uploads/2023/03/product4.jpg,,,,,,,,,0
191,simple,,"Часы Marvin",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1155,Uncategorized,,,http://localhost:8888/wordpress/wp-content/uploads/2023/03/product5.jpg,,,,,,,,,0
193,simple,,"Часы Rado",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1760,Uncategorized,,,http://localhost:8888/wordpress/wp-content/uploads/2023/03/product6.jpg,,,,,,,,,0
195,simple,,"Часы Rado",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1818,Uncategorized,,,http://localhost:8888/wordpress/wp-content/uploads/2023/03/product7.jpg,,,,,,,,,0
197,simple,,"Часы Gucci",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1184,Uncategorized,,,http://localhost:8888/wordpress/wp-content/uploads/2023/03/product8.jpg,,,,,,,,,0
199,simple,,"Часы Michael Kors",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,880,Uncategorized,,,http://localhost:8888/wordpress/wp-content/uploads/2023/03/product9.jpg,,,,,,,,,0
201,simple,,"Запонки с гравировкой",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,31,Uncategorized,,,http://localhost:8888/wordpress/wp-content/uploads/2023/03/product10.jpg,,,,,,,,,0
203,simple,,"Ремень Levis",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,109,Uncategorized,,,http://localhost:8888/wordpress/wp-content/uploads/2023/03/product11.jpg,,,,,,,,,0
205,simple,,"Apple Watch",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,154,303,Uncategorized,,,http://localhost:8888/wordpress/wp-content/uploads/2023/03/cart1.jpg,,,,,,,,,0
